TFs,Group,Gene_number,Genes
Homeobox,ALL,225,Barhl2;Isl1;Six2;Phox2a;Six3;Nkx3-2;Pitx2;Lbx2;Tlx2;Prrx2;Evx2;Hoxd13;Hoxd12;Hoxd11;Hoxd10;Hoxd9;Hoxd8;Pbx2;Hoxd3;Hoxd1;Vax2;Prrx1;Bsx;Pbx4;Dbx2;Meis2;Emx1;Hmbox1;Noto;Barhl1;Msx2;Gsx1;Pdx1;Cdx2;Lmx1a;Pbx1;Nkx6-1;Pknox1;Six6;Lhx5;Six1;Nobox;Six4;Nkx2-4;Sebox;Nkx2-2;Gm9376;Rhox1;Rhox2a;Rhox3a;Vsx2;Rhox4a;Rhox3a2;Rhox4a2;Rhox2b;Rhox4b;Rhox2c;Rhox3c;Rhox4c;Rhox2d;Rhox4d;Rhox2e;Rhox3e;Rhox4e;Nanog;Rhox2f;Rhox3f;Rhox4f;Rhox3g;Rhox2g;Rhox4g;Rhox3h;Rhox2h;Meis1;Lhx3;Irx1;Adnp;Irx2;Rhox10;Rhox11;Rhox12;Rhox13;Irx4;Isx;Vsx1;Alx4;Hoxa1;Hoxa2;Hoxa3;Hoxa4;Hoxa5;Hoxa6;Hoxa7;Hoxa9;Hoxa10;Hoxa11;Hoxa13;Evx1;Gsc;Cphx1;Duxbl1;Cphx2;Cphx3;Duxbl2;Arx;Duxbl3;Nkx2-6;Nkx3-1;Zfhx4;Phox2b;Tgif2;Mixl1;Hnf1b;Alx3;Cdx1;Hesx1;Hoxc13;Hoxc12;Hoxc11;Hoxc10;Hoxc5;Hoxc9;Hoxc8;Hoxc6;Hoxc4;Dmbx1;Lhx1;Hlx;Barx2;Rax;Alx1;Nkx6-3;Vax1;Emx2;Hnf1a;Nkx1-1;Hmx3;Hmx2;Meox1;Nkx1-2;Homez;Pitx1;Cers6;Pknox2;Gbx1;Tlx3;Nkx6-2;Zfhx2;Cers4;Msx3;Gsx2;Cers5;Irx3;Irx5;Irx6;Isl2;Shox2;Zhx3;Barx1;Dbx1;Lmx1b;Nkx2-5;Pbx3;Cdx4;Otp;En2;Hmx1;Mnx1;Cers3;Lhx8;Hopx;Meox2;Tgif1;Dlx1;Dlx2;Gsc2;Obox8;Obox7;Hdx;Obox1;Msx1;Obox3;Obox5;Obox6;Crxos;Prrxl1;Meis3;Cers2;Dlx6;Zfhx3;Dlx5;Prop1;Lhx6;Dlx3;Dlx4;Six5;Nkx2-3;Nkx2-1;Nkx2-9;Hoxb13;Hoxb9;Hoxb8;Hoxb7;Hoxb6;Hoxb5;Hoxb4;Hoxb3;Hoxb2;Hoxb1;Lhx2;Gbx2;Tlx1;Lbx1;Esx1;Zhx2;Pitx3;En1;Lhx9;Uncx;Lhx4;Rhox6;Rhox7a;Rhox8;Rhox7b;Rhox9
Homeobox,DEG,1,Hoxb2
Homeobox,Up,1,Hoxb2
Homeobox,Down,0,--
IRF,ALL,9,Irf2;Irf8;Irf4;Irf5;Irf3;Irf6;Irf7;Irf9;Irf1
IRF,DEG,0,--
IRF,Up,0,--
IRF,Down,0,--
MBD,ALL,9,Baz2a;Mecp2;Baz2b;Mbd2;Mbd1;Mbd3;Setdb1;Setdb2;Mbd4
MBD,DEG,0,--
MBD,Up,0,--
MBD,Down,0,--
MH1,ALL,8,Smad1;Smad9;Smad4;Smad7;Smad2;Smad5;Smad3;Smad6
MH1,DEG,0,--
MH1,Up,0,--
MH1,Down,0,--
MYB,ALL,23,Mybl1;Terf1;Ttf1;Dnajc2;Smarcc2;Snapc4;Dnajc1;Tada2a;Ncor1;Myb;Smarcc1;Rcor1;Zzz3;Mybl2;Ncor2;Mysm1;Tada2b;Cdc5l;Terf2;4932411N23Rik;Dmtf1;Rcor2;Mier3
MYB,DEG,0,--
MYB,Up,0,--
MYB,Down,0,--
Miscellaneous,ALL,2,Nr0b1;Nr0b2
Miscellaneous,DEG,0,--
Miscellaneous,Up,0,--
Miscellaneous,Down,0,--
NCU-G1,ALL,1,Glmp
