gene_docked,gene_type,other_gene,gene_type,combined_score
Dio1,Down,Cyp2d10,Down,164
Dio1,Down,Cyp2d10,Down,164
Dio1,Down,Cyp2d10,Down,164
Dio1,Down,Cyp2d10,Down,164
Apoa5,Down,Serpina3k,Down,163
Mug1,Down,Cyp2e1,Down,163
Fgb,Down,Cyp2e1,Down,162
Hp,Down,Klk1b26,Up,161
Hp,Down,Klk1b26,Up,161
Hp,Down,Ces1d,Down,161
Hp,Down,Ces1d,Down,161
Hp,Down,Klk1b11,Up,160
Hp,Down,Klk1b11,Up,160
Hp,Down,Hpd,Down,160
Hp,Down,Hpd,Down,160
Fgb,Down,Uroc1,Down,159
Tnn,Up,Ankrd61,Up,159
Tnn,Up,Ankrd61,Up,159
Saa4,Down,Hpd,Down,159
Hp,Down,Klk1b1,Up,159
Hp,Down,Klk1b1,Up,159
Fgb,Down,Cyp1a2,Down,159
Ngf,Up,Slc6a4,Up,158
Kng1,Down,Cyp2c50,Down,158
Hp,Down,Klk1b24,Up,158
Hp,Down,Klk1b24,Up,158
Hp,Down,Klk1b21,Up,158
Hp,Down,Klk1b21,Up,158
Fxyd3,Up,Esrp1,Up,158
Mug1,Down,Kng2,Down,157
Saa4,Down,Cyp2j5,Down,156
Hp,Down,Cldn4,Up,156
Hp,Down,Cldn4,Up,156
Tnn,Up,Serpinc1,Down,155
Tnn,Up,Serpinc1,Down,155
Tnn,Up,Serpina3k,Down,155
Tnn,Up,Serpina3k,Down,155
Tnn,Up,Serpina1d,Down,155
Tnn,Up,Serpina1d,Down,155
Tnn,Up,Serpina1c,Down,155
Tnn,Up,Serpina1c,Down,155
Tnn,Up,Serpina1b,Down,155
Tnn,Up,Serpina1b,Down,155
Tnn,Up,Serpina1a,Down,155
Tnn,Up,Serpina1a,Down,155
Pth,Down,Serpina1a,Down,155
Pth,Down,Serpina1a,Down,155
Pth,Down,Serpina1a,Down,155
Apoa5,Down,Fbp1,Down,155
Myh2,Down,Alb,Down,154
Hp,Down,Apof,Down,154
Hp,Down,Apof,Down,154
Fgb,Down,Cyp2c50,Down,154
Saa4,Down,Mup5,Up,153
Saa4,Down,Uroc1,Down,152
Hp,Down,Cyp2c29,Down,152
Hp,Down,Cyp2c29,Down,152
Mug1,Down,Uroc1,Down,151
Myl1,Down,Serpina1c,Down,151
Mug1,Down,Serpina1b,Down,151
Orc1,Down,Actg2,Up,151
Ngf,Up,BC048546,Up,151
Hp,Down,Klk1b3,Up,151
Hp,Down,Klk1b3,Up,151
Bhlha15,Up,Elf5,Up,151
Fgb,Down,Ankrd61,Up,150
Dio1,Down,F2,Down,150
Dio1,Down,F2,Down,150
Dio1,Down,F2,Down,150
Dio1,Down,F2,Down,150
